task_name,model_resolve_rate,model_difficulty,human_difficulty,total_models_tested,models_that_resolve,resolving_models,non_resolving_models
password-recovery,0.0625,hard,hard,16,1,['claude-opus-4-1-20250805'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
path-tracing,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
path-tracing-reverse,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
polyglot-c-py,0.0625,hard,medium,16,1,['grok-4-0709'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
polyglot-rust-c,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
port-compressor,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
prove-plus-comm,0.6875,easy,medium,16,11,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']"
pypi-server,0.375,medium,medium,16,6,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
pytorch-model-cli,0.0625,hard,medium,16,1,['grok-4-0709'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
pytorch-model-recovery,0.375,medium,medium,16,6,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
qemu-alpine-ssh,0.125,hard,medium,16,2,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
qemu-startup,0.125,hard,medium,16,2,"['gpt-5', 'gpt-5-mini']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
regex-log,0.4375,medium,medium,16,7,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
reshard-c4-data,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
reverse-engineering,0.0625,hard,hard,16,1,['gpt-5'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
run-pdp11-code,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
sanitize-git-repo,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
schemelike-metacircular-eval,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
sparql-university,0.125,hard,hard,16,2,"['gemini-2.5-pro', 'gpt-5']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
sqlite-db-truncate,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
sqlite-with-gcov,0.5,medium,medium,16,8,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gpt-5', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905']"
torch-tensor-parallelism,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
train-fasttext,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
tune-mjcf,0.0625,hard,medium,16,1,['gemini-2.5-flash'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
video-processing,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
vulnerable-secret,0.25,hard,medium,16,4,"['claude-opus-4-1-20250805', 'gemini-2.5-pro', 'grok-4-0709', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
wasm-pipeline,0.25,hard,medium,16,4,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-sonnet-4-20250514', 'gpt-5', 'gpt-5-mini']","['OpenAI/gpt-oss-20B', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
winning-avg-corewars,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
write-compressor,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
